"address","mirrorAddress","votes","available","poolAddress","isPoSNode"
"cfx:aajryjza5y3bsgtrxdf3sn7kptck287s76g8a00h9b","0x18834926Ae3faD0D1652DB28a2e969a3688e067D","28","28","cfx:acg8dkfxd88hdr5bgjf9p78mh32pemprbjn84beuhj",false
"cfx:aamzzxc074pxwdy98amy1ddd8vydnmpb86k71ez7mj","0x5Bfd85A3A271A0b20172E3F774Fb17FE32DA97d0","1","1","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aak1zwydz0fh27sum1p5sn3d0zh3wdk4zjcmbs0809","0x2213a1B300CdB3C750985470D5cB2a39B3a9b927","1250","1250","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aajt52dhp3czw6kva3eds5ww1de468se4e6xjnfmft","0xD35778588D36CA262101820674210283e3f98b67","1","1","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aaj0ea1tc2cb7ja27yzmwt8sc1w1ska5bpfv5p408t","0x8314412C14a16856320245f4dD124A25Ca5F6D0f","175","175","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aaptd0x10hdrpjsv5xv6dcdp90569sf092uj48fz06","0x5091dD1300f7469f054B5545CEB3a024c2b77F9C","32","32","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aary3v8phntgywz8fkz6w6913egv143y72j002s5cv","0x9859585246FA5b340e4f9ed11AA3855ED1969882","66","66","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aar4fm02da4axt051j7rg00uujrzm464s2kvs1pf3m","0x0388A0409Ebcc270B5015Dce28E7cDB6aec2B693","294","294","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aaryuw8k9pjxyud2parwnh5bb1srnwuvd6rypertuy","0x9B3cd2B169304Aa94D20A3769bc5a68870b2E931","2000","2000","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aajf2umy51tusmwtn19k1uryfyaedjhfyj2ny0mntp","0x1C0988f942bef15De07c963C64e304BC62750483","2500","2500","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aak1fcy4bffpwm87hx99187jv0r3jwrz7urd1jnz57","0x62079466Bb13A6b127dDb8030150c5b2d6c7Ef22","410","410","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aajg5mhcdgpv428uwc7z9114r9cem8c1hu86b5am36","0x65F550b7CfB5DA766444caEEaf8F01ED1F58A11a","31","31","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aatusedrvb6ab8kugg37bkntxdb4cxztd2afx132xu","0x2235C61210231DE30840A2D706DEEE7032498CbE","1683","1683","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aap192w10hufey7y4g8wd87x54vre7f62ynfpgw1aj","0xC28BDaD81868E7C3B4f56612178842f05539EcBb","191","191","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aaphyytr88mav4w3yr5e2vb848fxchvbzjxpa0wcbc","0x7aceb6eAe2362cF8326aC6aE576112c66ad32787","864","864","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aam27r73u3h42ey619rcseyk9733yrm1vy3kravnzm","0xAaB0F9Ec5B8494Ba76CA318Adb7e0D7eb42c410C","667","667","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aar68uv7pavybaenzpzng7296d119b16ajab20r9rz","0x7fa4De9B027B3798cd76b39af85f85E274FBdCcA","30","30","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aap9ebmggm35xf16mts465hafp199wh3u2adg8aa6x","0x64B85a5fDD45709108cf45d4E17B6DE816271c24","50","50","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aaj580gzzu8dbk9thyujbt3jbueev6zm0pw91utc30","0x4b32e735EC2D352BAcb8B73a727FeCeBbe14aA46","851","851","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aatcnprvzw0676kc8gxzf080arcnbgw9gpp80fj64r","0xa516a86e0B2e4DDfee06e6e5140215C90813DC2f","108","108","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aakutsp4ze7fjhebv4dxzr6xgdnm1np9bek0ymzabj","0x51689D280E7201dD81a1D9F372C966dc52c781A9","4","4","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aapyx2dw9e4v2fn7e6td6eszvtvs41auae3a13xfta","0x6AFC163E5E86138aAe7349E44FA1b3ec854c03c1","10","10","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aaps0cy3cw8wm5a1xgxjmj839rkhxgaf02r177k88c","0x4ffCD87B92722d235b5eD57f574c40aCD2209C91","1169","1169","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
"cfx:aapnzj6ynjptxvfrjheb5hva4nvbg5wj4jb01j1wry","0x8A278405E6943C0393cbBC655a8C44A5e0441396","163","163","cfx:acb24p2mdhtyvmj8cjeu8fpyt7caeh629pjku96xa4",false
